species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Kepiting vampir ungu,purple vampire crab,Parathelphusa bogoriensis,Kepiting vampir ungu; purple vampire crab; Parathelphusa bogoriensis; purple vampire crab fish,50,LOW,Kepiting,TAWAR,NON HIAS,yuyu bogor
Kepiting uca,thick-legged fiddler crab,Paraleptuca crassipes,Kepiting uca; thick-legged fiddler crab; Paraleptuca crassipes; thick-legged fiddler crab fish,50,LOW,Kepiting,"LAUT, PAYAU, TAWAR",HIAS,kepiting uca
Kerang bakau,broad geloina,Geloina expansa,Kerang bakau; broad geloina; Geloina expansa; broad geloina fish,50,LOW,Kerang,PAYAU,NON HIAS,kerang bakau
Kumai bali,sleek unicornfish,Naso hexacanthus,Kumai bali; sleek unicornfish; Naso hexacanthus,50,LOW,Botana,"LAUT, PAYAU","HIAS, NON HIAS",kapasan; botana naso palsu bali; kumai belowis
Kumai barred,oneknife unicorn; oneknife unicornfish; singlespine unicornfish; thunny unicornfish; barred unicornfishÂ,Naso thynnoides,Kumai barred; oneknife unicorn; oneknife unicornfish; singlespine unicornfish; thunny unicornfish; barred unicornfishÂ; Naso thynnoides,50,LOW,Botana,LAUT,"HIAS, NON HIAS",kapasan; kumai belowis; tui-tui iba
Kumai ekor putih,spotted unicornfish,Naso brevirostris,Kumai ekor putih; spotted unicornfish; Naso brevirostris,50,LOW,Botana,"LAUT, PAYAU",NON HIAS,kapasan; kumai; tui-tui mohute
Layur,savalai hairtail,Lepturacanthus savala,Layur; savalai hairtail; Lepturacanthus savala; savalai hairtail fish,50,LOW,Layur,LAUT,NON HIAS,jogor; lajur; lajuru; komu; romu; komu kacang; geser; domu
Layaran,indo-pacific sailfish; bayonet,Istiophorus platypterus,Layaran; indo-pacific sailfish; bayonet; Istiophorus platypterus,50,LOW,Layaran,LAUT,NON HIAS,jangilus; panombuk; geulang paying
Layang lidi,shortfin scad,Decapterus macrosoma,Layang lidi; shortfin scad; Decapterus macrosoma; shortfin scad fish,50,LOW,Layang,"LAUT, PAYAU",NON HIAS,
Layang ekor merah,roughear scad,Decapterus tabl,Layang ekor merah; roughear scad; Decapterus tabl; roughear scad fish,50,LOW,Layang,"LAUT, PAYAU",NON HIAS,
